model,r2,rmse,mae
LinearRegression,0.957,0.189,0.151
SVR,0.956,0.19,0.151
LGBMRegressor,0.954,0.194,0.148
XGBRegressor,0.949,0.206,0.158
RandomForestRegressor,0.938,0.227,0.17
